Entity,Year,Per capita electricity - kWh
Afghanistan,,23.39903
Albania,,3204.564
Algeria,,2086.0334
Angola,,488.16525
Antigua and Barbuda,,3858.8105
Argentina,2024,3220.8428
Armenia,2024,2972.6357
Australia,2024,10477.984
Austria,2024,8611.12
Azerbaijan,2024,2831.7078
Bahamas,,5157.3364
Bahrain,,23043.719
Bangladesh,2024,656.01794
Barbados,,3896.5364
Belarus,2024,5002.9497
Belgium,2024,6383.1567
Belize,,1094.696
Benin,,70.86677
Bhutan,,14192.515
Bolivia,2024,994.90356
Bosnia and Herzegovina,2024,4784.7573
Botswana,,1044.2769
Brazil,2024,3515.4023
Brunei,,12181.038
Bulgaria,2024,5494.516
Burkina Faso,,75.133316
Burundi,,28.489183
Cambodia,2024,891.21954
Cameroon,,293.5927
Canada,2024,15781.139
Cape Verde,,962.1046
Central African Republic,,27.46182
Chad,,21.132174
Chile,2024,4516.1255
China,2024,7096.7725
Colombia,2024,1654.6814
Comoros,,164.64099
Congo,,836.1867
Costa Rica,2024,2413.3213
Cote d'Ivoire,,357.1246
Croatia,2024,3963.5876
Cuba,,1387.4923
Cyprus,2024,4211.326
Czechia,2024,6801.537
Democratic Republic of Congo,,150.2982
Denmark,2024,5930.702
Djibouti,,173.47379
Dominica,,2256.3857
Dominican Republic,2024,2322.4663
East Timor,,368.4348
Ecuador,2024,1819.6437
Egypt,2024,2020.0242
El Salvador,2024,1009.75903
Equatorial Guinea,,849.7966
Eritrea,,126.78858
Estonia,2024,4461.592
Eswatini,,455.11545
Ethiopia,,141.88954
Fiji,,1244.4352
Finland,2024,14882.672
France,2024,8380.808
French Guiana,,3285.5037
Gabon,,1283.837
Gambia,,189.04314
Georgia,2024,3745.1206
Germany,2024,5639.948
Ghana,,718.8971
Greece,2024,5695.7935
Greenland,,9648.198
Grenada,,2053.4583
Guatemala,,742.6293
Guinea,,281.1441
Guinea-Bissau,,37.996105
Guyana,,1621.6675
Haiti,,87.79896
Honduras,,1100.0674
Hungary,2024,3945.809
Iceland,,51919.637
India,2024,1418.078
Indonesia,,1246.8438
Iran,2024,4234.9004
Iraq,,3334.294
Ireland,2024,5878.2456
Israel,,8038.8833
Italy,2024,4459.3438
Jamaica,,1581.4882
Japan,2024,8260.811
Jordan,,2005.1145
Kazakhstan,2024,5732.664
Kenya,2024,227.70406
Kiribati,,306.66614
Kosovo,2024,3881.8723
Kuwait,2024,17764.855
Kyrgyzstan,2024,2346.2412
Laos,,6823.262
Latvia,2024,3451.1848
Lebanon,,782.89465
Lesotho,,209.96759
Liberia,,70.999695
Libya,,4805.895
Lithuania,2024,2560.2803
Luxembourg,2024,2317.9653
Madagascar,,86.73592
Malawi,,88.97021
Malaysia,2024,5574.6123
Maldives,,1616.1079
Mali,,183.43158
Malta,2024,4095.953
Mauritania,,336.36954
Mauritius,,2567.6401
Mexico,2024,2760.793
Moldova,2024,1716.6816
Mongolia,2024,2411.1716
Montenegro,2024,5795.349
Morocco,2024,1151.4894
Mozambique,,581.53503
Myanmar,2024,452.8437
Namibia,,637.8567
Nauru,,3375.5273
Nepal,,360.08286
Netherlands,2024,6709.206
New Caledonia,,10762.987
New Zealand,2024,8527.209
Nicaragua,,640.4273
Niger,,30.581255
Nigeria,2024,172.46906
North Korea,,1008.4017
North Macedonia,2024,3181.6335
Norway,2024,27995.512
Oman,2024,8207.904
Pakistan,2024,727.34766
Palestine,,192.2631
Panama,,2886.4792
Papua New Guinea,,455.26343
Paraguay,,6463.961
Peru,2024,1865.9872
Philippines,2024,1086.4647
Poland,2024,4416.288
Portugal,2024,4442.1045
Puerto Rico,2024,5773.912
Qatar,2024,19236.473
Romania,2024,2779.9036
Russia,2024,8364.293
Rwanda,,75.96154
Saint Kitts and Nevis,,4711.4253
Saint Lucia,,2237.7998
Saint Vincent and the Grenadines,,1480.955
Samoa,,692.4249
Sao Tome and Principe,,397.7637
Saudi Arabia,,12712.45
Senegal,,445.3043
Serbia,2024,5510.55
Seychelles,,4925.338
Sierra Leone,,24.821318
Singapore,2024,10220.593
Slovakia,2024,5326.2295
Slovenia,2024,8024.008
Solomon Islands,,137.50618
Somalia,,22.87759
South Africa,2024,3824.7297
South Korea,2024,12027.446
South Sudan,,51.378864
Spain,2024,5852.374
Sri Lanka,,735.6515
Sudan,,334.7138
Suriname,,3403.0916
Sweden,2024,16290.286
Switzerland,2024,8819.838
Syria,,893.9495
Taiwan,2024,12421.428
Tajikistan,2024,2134.8577
Tanzania,,164.82141
Thailand,2024,2784.3684
Togo,,98.879135
Tonga,,669.44006
Trinidad and Tobago,,6321.167
Tunisia,2024,1696.6616
Turkey,2024,3900.827
Turkmenistan,,4588.2935
Uganda,,121.531944
Ukraine,2024,2324.8706
United Arab Emirates,,15507.348
United Kingdom,2024,4069.0996
United States,2024,12700.993
Uruguay,2024,5099.6216
Uzbekistan,,2138.714
Vanuatu,,249.70581
Venezuela,,2930.6577
Vietnam,2024,3033.3416
Western Sahara,,
Yemen,,77.93708
Zambia,,939.01135
Zimbabwe,,508.54373